index,job,sector,sex,2015,2016,2017
,,central government,Males,42600,42900,44100
,,,Females,41200,41400,42700
3258,Ambulance workers,private sector and public enterprises,Males,47200,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,40400,41400,42550
,,,Females,35800,37100,38210
3259,Health associate professionals not elsewhere classified,private sector and public enterprises,Males,37100,37800,39250
,,,Females,35900,36800,38270
,,local government,Males,37800,38500,39350
,,,Females,39600,40900,40850
,,central government,Males,,,
,,,Females,,,
3311,Securities and finance dealers and brokers,private sector and public enterprises,Males,105900,112000,109280
,,,Females,57100,59200,60340
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3312,Credit and loans officers,private sector and public enterprises,Males,53600,55300,56870
,,,Females,42500,43400,44720
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3313,Accounting associate professionals,private sector and public enterprises,Males,51300,52200,53610
,,,Females,43900,44900,46340
,,local government,Males,40200,42500,42700
,,,Females,38000,39800,40690
,,central government,Males,,,
,,,Females,39600,41000,42180
3315,Valuers and loss assessors,private sector and public enterprises,Males,46800,46800,48490
,,,Females,39100,38800,40670
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3321,Insurance representatives,private sector and public enterprises,Males,55800,57800,57780
,,,Females,46200,48300,48700
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3322,Commercial sales representatives,private sector and public enterprises,Males,49400,50700,52130
,,,Females,43900,45000,46510
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3323,Buyers,private sector and public enterprises,Males,51200,51600,53240
,,,Females,44800,45600,47360
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3324,Trade brokers,private sector and public enterprises,Males,104600,91800,103770
,,,Females,59400,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3331,Clearing and forwarding agents,private sector and public enterprises,Males,45200,45900,47110
,,,Females,39800,40500,41240
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3332,Conference and event planners,private sector and public enterprises,Males,51700,50000,53810
,,,Females,43300,43300,44570
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3333,Employment agents and contractors,private sector and public enterprises,Males,39600,39200,40350
,,,Females,37600,38100,38740
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3334,Real estate agents and property mangers,private sector and public enterprises,Males,65300,64400,65820
,,,Females,51500,51800,53950
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3341,Office supervisors,private sector and public enterprises,Males,56000,57500,58980
,,,Females,45900,46700,48460
,,local government,Males,52500,53600,55610
,,,Females,46600,48100,49610
,,central government,Males,45300,46900,
,,,Females,44900,45700,47230
3342,Legal secretaries,private sector and public enterprises,Males,,,
,,,Females,38600,40000,41210
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3343,Administrative and executive secretaries,private sector and public enterprises,Males,53500,53500,54120
,,,Females,42400,43400,44490
,,local government,Males,38500,39900,40930
,,,Females,36600,37600,38500
,,central government,Males,40700,41300,42270
,,,Females,38300,39000,39970
3351,Customs and border inspectors,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,38900,38900,39770
,,,Females,36300,36800,37400
3352,Government tax and excise officials,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,38900,39200,40250
,,,Females,36400,36900,37750
3353,Government social benefits officials,private sector and public enterprises,Males,40700,40700,41530
,,,Females,38600,39200,39340
,,local government,Males,,,
,,,Females,36000,37100,37760
,,central government,Males,35700,36100,36870
,,,Females,34900,35400,36320
3355,Police inspectors and detectives,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,47700,48900,49090
,,,Females,43300,44500,44650
3359,Regulatory government associate professionals not elsewhere classified,private sector and public enterprises,Males,43400,44200,45210
,,,Females,38200,39500,39900
,,local government,Males,38400,39500,40640
,,,Females,36600,37600,38600
,,central government,Males,40400,41400,43410
,,,Females,37100,38000,39830
3412,Social work associate professionals,private sector and public enterprises,Males,38000,38700,39990
,,,Females,37800,38300,39790
,,local government,Males,38300,39300,40440
,,,Females,37000,38100,39060
,,central government,Males,40400,41500,42670
,,,Females,39300,40700,41270
3413,Religious associate professionals,private sector and public enterprises,Males,35700,36500,37470
,,,Females,33600,34800,35580
,,local government,Males,40000,40600,42350
,,,Females,38500,39200,40630
,,central government,Males,,,
,,,Females,,,
3421,Athletes and sports players,private sector and public enterprises,Males,46500,44500,44440
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3422,"Sport coaches, instructors and officials",private sector and public enterprises,Males,40200,41700,42210
,,,Females,34600,35500,35010
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3423,Fitness and recreation instructors and program leaders,private sector and public enterprises,Males,33800,36000,36710
,,,Females,33500,33700,35960
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3431,Photographers,private sector and public enterprises,Males,42300,42400,43410
,,,Females,33400,35100,36680
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3432,Interior designers and decorators,private sector and public enterprises,Males,42800,43700,43660
,,,Females,37000,38600,39250
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3434,Chefs,private sector and public enterprises,Males,36200,37300,37860
,,,Females,32700,33600,34600
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3439,Other artistic and cultural associate professionals,private sector and public enterprises,Males,38900,39500,40270
,,,Females,35700,36800,37730
,,local government,Males,37400,39000,40420
,,,Females,36100,37400,38430
,,central government,Males,37800,39600,41210
,,,Females,36600,38000,39500
3511,Information and communication technology operations technicians,private sector and public enterprises,Males,50800,51800,52870
,,,Females,48300,49400,50570
,,local government,Males,34200,34500,34510
,,,Females,36800,35200,37080
,,central government,Males,43000,43600,44460
,,,Females,43300,43400,44940
3512,Information and communication technology user support technicians,private sector and public enterprises,Males,41400,42700,43660
,,,Females,38700,39800,41330
,,local government,Males,,,
,,,Females,,,
,,central government,Males,40300,41200,42340
,,,Females,,,
3513,Computer network and systems technicians,private sector and public enterprises,Males,50800,52100,54740
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3514,Web technicians,private sector and public enterprises,Males,49900,51800,53410
,,,Females,44100,45000,45740
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3521,Broadcasting and audio-visual technicians,private sector and public enterprises,Males,41400,42600,43950
,,,Females,39700,38900,40790
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3522,Telecommunications engineering technicians,private sector and public enterprises,Males,42900,43000,42560
,,,Females,37100,38500,38730
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4110,General office clerks,private sector and public enterprises,Males,40200,41200,42150
,,,Females,36800,37700,38580
,,local government,Males,33200,33900,34700
,,,Females,33500,34500,35260
,,central government,Males,36200,35800,36280
,,,Females,33600,34100,34840
4132,Data entry clerks,private sector and public enterprises,Males,,,44140
,,,Females,36200,38200,39140
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4211,Bank tellers and related clerks,private sector and public enterprises,Males,36000,36500,37090
,,,Females,35500,36800,37260
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4212,"Bookmakers, croupiers and related gaming workers",private sector and public enterprises,Males,,,
,,,Females,28700,27900,30140
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4214,Debt collectors and related clerks,private sector and public enterprises,Males,39900,39400,41580
,,,Females,37400,37800,38960
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4221,Travel consultants and clerks,private sector and public enterprises,Males,39600,39800,41110
,,,Females,36100,36700,37660
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4222,Contact centre information clerks,private sector and public enterprises,Males,36000,37000,37590
,,,Females,35400,36400,37170
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4223,Telephone switchboard operators,private sector and public enterprises,Males,35200,37000,37660
,,,Females,32800,33800,34590
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4224,Hotel receptionists,private sector and public enterprises,Males,28700,29400,30060
,,,Females,28900,29500,30080
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4225,Enquiry clerks,private sector and public enterprises,Males,,37600,37950
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4226,Receptionists (general),private sector and public enterprises,Males,36700,37900,39010
,,,Females,31700,33000,33940
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4227,Survey and market research interviewers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4229,Client information workers not elsewhere classified,private sector and public enterprises,Males,37700,39000,38800
,,,Females,36900,37300,38620
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4311,Accounting and bookkeeping clerks,private sector and public enterprises,Males,43100,43500,44490
,,,Females,39400,40500,41410
,,local government,Males,,,
,,,Females,36200,37600,39370
,,central government,Males,,,
,,,Females,,,
4312,"Statistical, finance and insurance clerks",private sector and public enterprises,Males,,,
,,,Females,40300,44100,42620
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4313,Payroll clerks,private sector and public enterprises,Males,42700,43400,45830
,,,Females,41100,42000,43320
,,local government,Males,,,
,,,Females,37000,37900,39190
,,central government,Males,,,
,,,Females,,,
4321,Stock clerks,private sector and public enterprises,Males,35800,36700,37660
,,,Females,34200,35200,36110
,,local government,Males,,,
,,,Females,,,
,,central government,Males,34400,35100,35620
,,,Females,,,
4322,Production clerks,private sector and public enterprises,Males,42800,43600,45110
,,,Females,40600,41300,42800
,,local government,Males,,,
,,,Females,,,
,,central government,Males,34100,34400,35500
,,,Females,,,
4323,Transport clerks,private sector and public enterprises,Males,39300,39700,40540
,,,Females,36500,38100,38620
,,local government,Males,38100,37900,38220
,,,Females,,,
,,central government,Males,47100,49200,46610
,,,Females,41400,44000,42190
4411,Library clerks,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4412,Mail carriers and sorting clerks,private sector and public enterprises,Males,33200,33900,34620
,,,Females,33300,34200,34980
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
4415,Filing and copying clerks,private sector and public enterprises,Males,,,
,,,Females,40100,39700,41010
,,local government,Males,,,
,,,Females,,,
,,central government,Males,37800,39100,39620
,,,Females,37400,37600,38370
4416,Personnel clerks,private sector and public enterprises,Males,,,
,,,Females,42900,44100,45310
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5111,Travel attendants and travel stewards,private sector and public enterprises,Males,34700,34300,36120
,,,Females,32300,31900,33130
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5112,Transport conductors,private sector and public enterprises,Males,46800,47600,50600
,,,Females,43700,44800,48040
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5113,Travel guides,private sector and public enterprises,Males,32400,32800,32250
,,,Females,30700,30800,32240
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5120,Cooks,private sector and public enterprises,Males,33100,33300,33470
,,,Females,30700,31300,31310
,,local government,Males,31300,31800,31520
,,,Females,32000,32600,33460
,,central government,Males,33200,33800,34300
,,,Females,32100,32900,33190
5131,Waiters,private sector and public enterprises,Males,27800,28500,29330
,,,Females,26900,27500,28430
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5132,Bartenders,private sector and public enterprises,Males,28000,29500,29870
,,,Females,25500,26600,27920
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5141,Hairdressers,private sector and public enterprises,Males,30500,31500,31650
,,,Females,26900,28000,29140
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5142,Beauticians and related workers,private sector and public enterprises,Males,,,
,,,Females,30500,32400,33000
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5151,"Cleaning and housekeeping supervisors in offices, hotels and other local kinds of activity units",private sector and public enterprises,Males,35500,37700,37540
,,,Females,33600,35000,36290
,,local government,Males,,,
,,,Females,34400,35600,35860
,,central government,Males,,,
,,,Females,,,
5152,Domestic housekeepers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5153,Building caretakers,private sector and public enterprises,Males,36900,37500,38790
,,,Females,37000,37600,38390
,,local government,Males,34100,34900,35650
,,,Females,33500,34600,35470
,,central government,Males,35700,36400,37180
,,,Females,,,34600
5163,Undertakers and embalmers,private sector and public enterprises,Males,39700,40700,41570
,,,Females,37200,38800,40020
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5164,Pet groomers and animal care workers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5165,Driving instructors,private sector and public enterprises,Males,40200,41400,42130
,,,Females,37300,38400,39990
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5169,Personal services workers not elsewhere classified,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,42600,40100,44320
,,,Females,,,
5211,Stall and market salespersons,private sector and public enterprises,Males,43300,41600,41300
,,,Females,,35700,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5222,Shop supervisors,private sector and public enterprises,Males,38100,39600,40070
,,,Females,35100,35800,36550
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5223,Shop sales assistants,private sector and public enterprises,Males,33400,34300,35130
,,,Females,30200,31100,31820
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5230,Cashiers and ticket clerks,private sector and public enterprises,Males,,,
,,,Females,35800,36100,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5242,Sales demonstrators,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5244,Contact centre salespersons,private sector and public enterprises,Males,37800,38400,38570
,,,Females,35900,36200,36770
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5245,Service station attendants,private sector and public enterprises,Males,29600,30500,32130
,,,Females,27500,28000,28330
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5246,Food service counter attendants,private sector and public enterprises,Males,27600,28300,29030
,,,Females,28100,28800,29590
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5249,Sales workers not elsewhere classified,private sector and public enterprises,Males,35200,36600,37200
,,,Females,33600,34500,35600
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
5311,Child care workers,private sector and public enterprises,Males,29300,29900,30960
,,,Females,29400,30000,30980
,,local government,Males,29500,30300,30740
,,,Females,29600,30400,31010
,,central government,Males,36800,35800,37170
,,,Females,33800,33100,35090
5312,Teachers¿ aides,private sector and public enterprises,Males,,,
,,,Females,28900,29300,30070
,,local government,Males,29500,30400,30900
,,,Females,29400,30000,30700
,,central government,Males,,,
,,,Females,,,
5321,Health care assistants,private sector and public enterprises,Males,33400,33900,35060
,,,Females,33200,33600,34660
,,local government,Males,35000,35700,36440
,,,Females,34300,34900,35570
,,central government,Males,37500,38100,39580
,,,Females,34400,34800,35710
5322,Home-based personal care workers,private sector and public enterprises,Males,30300,31000,31880
,,,Females,28700,28800,30750
,,local government,Males,32600,32700,33950
,,,Females,32200,32700,33570
,,central government,Males,,,
,,,Females,,,
5329,Personal care workers in health services not elsewhere classified,private sector and public enterprises,Males,32800,34200,35730
,,,Females,33200,34200,35430
,,local government,Males,32500,33200,34150
,,,Females,31600,32000,33000
,,central government,Males,32800,33500,34740
,,,Females,31000,31900,32970
5411,Fire-fighters,private sector and public enterprises,Males,41900,46100,48900
,,,Females,,,
,,local government,Males,44100,45100,46080
,,,Females,,,
,,central government,Males,50600,,
,,,Females,,,
5413,Prison guards,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,40100,40600,41950
,,,Females,37900,38200,39460
5414,Security guards,private sector and public enterprises,Males,33300,34000,34320
,,,Females,31100,31600,31970
,,local government,Males,,,
,,,Females,,,
,,central government,Males,40500,40400,41230
,,,Females,,,
5419,Protective services workers not elsewhere classified,private sector and public enterprises,Males,31600,31300,32560
,,,Females,30700,31300,31640
,,local government,Males,33100,34700,35240
,,,Females,,33100,34200
,,central government,Males,,,
,,,Females,,,
6113,"Gardeners, horticultural and nursery growers",private sector and public enterprises,Males,31400,32600,33060
,,,Females,27600,28600,29040
,,local government,Males,32600,33000,33540
,,,Females,31700,32300,32940
,,central government,Males,,,
,,,Females,,,
6121,Livestock and dairy producers,private sector and public enterprises,Males,28400,28800,29760
,,,Females,22600,23600,24040
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
6122,Poultry producers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
6130,Mixed crop and animal producers,private sector and public enterprises,Males,26800,27400,28050
,,,Females,26100,26100,26620
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
6210,Forestry and related workers,private sector and public enterprises,Males,31600,33100,33300
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
6221,Aquaculture workers,private sector and public enterprises,Males,40500,41500,43960
,,,Females,35500,36700,38460
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
6222,Fishery workers,private sector and public enterprises,Males,41800,37000,36200
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7112,Bricklayers and related workers,private sector and public enterprises,Males,34200,35500,36370
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7113,"Stonemasons, stone cutters, splitters and carvers",private sector and public enterprises,Males,37100,37300,38370
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7114,"Concrete placers, concrete finishers and related workers",private sector and public enterprises,Males,37700,38400,39500
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7115,Carpenters and joiners,private sector and public enterprises,Males,33200,34200,35260
,,,Females,30500,30700,31020
,,local government,Males,33500,34100,34470
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7119,Building frame and related trades workers not elsewhere classified,private sector and public enterprises,Males,35000,35100,35560
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7121,Roofers,private sector and public enterprises,Males,33900,34400,36350
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7122,Floor layers and tile setters,private sector and public enterprises,Males,34000,34900,36120
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7124,Insulation workers,private sector and public enterprises,Males,35600,35700,37270
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7125,Glaziers,private sector and public enterprises,Males,33500,34600,35890
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7126,Plumbers and pipe fitters,private sector and public enterprises,Males,36900,38200,39470
,,,Females,31700,32500,34590
,,local government,Males,36100,37300,38140
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7127,Air conditioning and refrigeration mechanics,private sector and public enterprises,Males,39800,41300,41760
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7131,Painters and related workers,private sector and public enterprises,Males,33500,33900,34960
,,,Females,31600,32200,33780
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7132,Spray painters and varnishers,private sector and public enterprises,Males,34600,35100,35580
,,,Females,,,32890
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7133,Building structure cleaners,private sector and public enterprises,Males,34600,33800,34150
,,,Females,,,
,,local government,Males,34400,35200,35930
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7211,Metal moulders and coremakers,private sector and public enterprises,Males,32400,33600,35080
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7212,Welders and flame cutters,private sector and public enterprises,Males,36400,37100,37610
,,,Females,34800,35300,35730
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7213,Sheet metal workers,private sector and public enterprises,Males,34600,35500,37010
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7214,Structural metal preparers and erectors,private sector and public enterprises,Males,34400,35000,35740
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7215,Riggers and cable splicers,private sector and public enterprises,Males,44500,45800,43700
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7222,Toolmakers and related workers,private sector and public enterprises,Males,37100,37400,38030
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7223,Metal working machine tool setters and operators,private sector and public enterprises,Males,34900,35600,36270
,,,Females,31400,32600,34580
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7231,Motor vehicle mechanics and repairers,private sector and public enterprises,Males,33500,34600,35360
,,,Females,26100,26100,27840
,,local government,Males,,,
,,,Females,,,
,,central government,Males,41600,42000,43520
,,,Females,,,
7232,Aircraft engine mechanics and repairers,private sector and public enterprises,Males,52800,52900,54610
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,44500,,
,,,Females,,,
7233,Agricultural and industrial machinery mechanics and repairers,private sector and public enterprises,Males,38900,39300,40340
,,,Females,35100,35300,37850
,,local government,Males,35000,34800,36310
,,,Females,,,
,,central government,Males,30600,31100,28300
,,,Females,27600,28000,28010
7311,Precision-instrument makers and repairers,private sector and public enterprises,Males,37200,38500,43020
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7313,Jewellery and precious metal workers,private sector and public enterprises,Males,34500,35000,35560
,,,Females,33600,33700,34580
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7318,"Handicraft workers in textile, leather and related materials",private sector and public enterprises,Males,,,
,,,Females,,,32500
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7321,Pre-press technicians,private sector and public enterprises,Males,39100,39500,38870
,,,Females,39500,39000,38180
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7322,Printers,private sector and public enterprises,Males,37400,38200,38960
,,,Females,31900,31700,31970
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7323,Print finishing and binding workers,private sector and public enterprises,Males,31700,32600,31450
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7411,Building and related electricians,private sector and public enterprises,Males,38500,39500,40830
,,,Females,30800,32400,32880
,,local government,Males,34900,35800,36870
,,,Females,,,
,,central government,Males,35800,37100,38180
,,,Females,,,
7412,Electrical mechanics and fitters,private sector and public enterprises,Males,44200,44900,46210
,,,Females,32700,32300,33460
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7413,Electrical line installers and repairers,private sector and public enterprises,Males,38200,39900,41270
,,,Females,29600,32500,32710
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7421,Electronics mechanics and servicers,private sector and public enterprises,Males,38200,38700,39630
,,,Females,40100,,42640
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7422,Information and communications technology installers and servicers,private sector and public enterprises,Males,33900,35100,35780
,,,Females,,,
,,local government,Males,15100,15400,15580
,,,Females,,,
,,central government,Males,33000,34300,35610
,,,Females,,,
7511,"Butchers, fishmongers and related food preparers",private sector and public enterprises,Males,31700,31000,33540
,,,Females,26500,26800,28080
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7512,"Bakers, pastry-cooks and confectionery makers",private sector and public enterprises,Males,33200,34000,34790
,,,Females,27800,28500,29060
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7522,Cabinet makers and related workers,private sector and public enterprises,Males,32700,33300,34330
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7531,"Tailors, dressmakers, furriers and hatters",private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,36700,38090
7534,Upholsterers and related workers,private sector and public enterprises,Males,33900,34100,37010
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7541,Underwater divers,private sector and public enterprises,Males,44800,48100,46910
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7542,Shotfirers and blasters,private sector and public enterprises,Males,50200,51100,51780
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7544,Fumigators and other pest and weed controllers,private sector and public enterprises,Males,36600,38300,39370
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
7549,Craft and related workers not elsewhere classified,private sector and public enterprises,Males,,,
,,,Females,27500,29100,29560
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8111,Miners and quarriers,private sector and public enterprises,Males,39500,39700,41640
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8113,Well drillers and borers and related workers,private sector and public enterprises,Males,56200,57200,58750
,,,Females,49600,51900,52620
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8114,"Cement, stone and other mineral products machine operators",private sector and public enterprises,Males,35200,35900,36670
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8121,Metal processing plant operators,private sector and public enterprises,Males,35300,36100,37050
,,,Females,32700,33800,34840
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8131,Chemical products plant and machine operators,private sector and public enterprises,Males,40900,42100,42970
,,,Females,36400,37800,39530
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8141,Rubber products machine operators,private sector and public enterprises,Males,34100,34900,36570
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8142,Plastic products machine operators,private sector and public enterprises,Males,33400,34500,35060
,,,Females,31200,32200,32520
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
